AGREEMENT_ID,BATCH_ID,BATCH_DESCRIPTION,WORK_ID,WORK_TITLE,WRITERS,RECORDING_ARTIST,RECORDING_TITLE,RIGHT_TYPE_GROUP,RIGHT_TYPE,TERRITORY_ID,TERRITORY,EXPLOITATION_LICENCE_ID,EXPLOITATION_TITLE,EXPLOITATION_ARTIST,EXPLOITATION_DESCRIPTION,EXPLOITATION_FORMAT,AV_PRODUCTION_TITLE,ROYALTY_PERIOD_START_DATE,ROYALTY_PERIOD_END_DATE,PERCENTAGE_PAID,UNIT_SUM,CREDIT_OR_DEBIT,DISTRIBUTED_AMOUNT,WHT_ADJ_RECEIVED_AMOUNT,WHT_ADJ_SOURCE_AMOUNT,DIRECT_COLLECT_FEE_TAKEN,DIRECT_COLLECTED_AMOUNT,SOURCE_NAME,GENERATED_AT_COVER_RATE,TERRITORY_ISO_ALPHA_2_CODE,CUSTOM_WORK_ID,REVENUE_SOURCE_NAME
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,13-Feb-17,13-Feb-17,12.5,1,Credit,0.70943067,0.7276212,0.7276212,,0.7276212,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,23-Feb-17,23-Feb-17,12.5,1,Credit,0.738990281,0.75793875,0.75793875,,0.75793875,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,9-Apr-17,9-Apr-17,12.5,1,Credit,0.492660188,0.5052925,0.5052925,,0.5052925,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,30-May-17,30-May-17,12.5,1,Credit,0.206917279,0.21222285,0.21222285,,0.21222285,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,15-Jun-17,15-Jun-17,12.5,1,Credit,1.133118431,1.16217275,1.16217275,,1.16217275,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,20-Jun-17,20-Jun-17,12.5,1,Credit,0.492660188,0.5052925,0.5052925,,0.5052925,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,27-Jun-17,27-Jun-17,12.5,1,Credit,0.502513391,0.51539835,0.51539835,,0.51539835,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,3-Aug-17,3-Aug-17,12.5,1,Credit,0.502513391,0.51539835,0.51539835,,0.51539835,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,22-Sep-17,22-Sep-17,12.5,1,Credit,1.369595321,1.40471315,1.40471315,,1.40471315,SUISA,N,CH,,
AAGR88189,BCH50303,SUISA_2018-312_CRDAS20180614193900_PERF_Q2 2018,AWK925690,Marry Me,"Bonds, Marlin Donnell [AIP84953]; Desrouleaux, Jason Joel [AIP17848]; Jeberg, Jonas [AIP13946]; Saidenberg, Andrew Michael [AIP5380]",,,PERF,Radio Broadcast Right,TERR745,Switzerland,,,,,,,30-Sep-17,30-Sep-17,12.5,1,Credit,0.995173579,1.02069085,1.02069085,,1.02069085,SUISA,N,CH,,
